,officer,date,age,weapon,outcome,assignment,latlng,id
205,Eliezer Vera,2000-09-04,29,"(1, 'Gun')",2,Century,"(34.3871821, -118.1122679)",SH2019284
206,Eliezer Vera,2000-09-04,22,"(1, 'Gun')",2,Century,"(34.3871821, -118.1122679)",SH2019284
207,Robert Chivas,2000-10-05,31,"(1, 'Knife')",2,Temple,"(34.0801073, -118.0646004)",SH2021648
208,Jeffrey Moore,2000-11-03,37,"(1, 'Gun')",1,Special Enforcement Bureau,"(34.1305487, -118.0693319)",SH2023136
209,Jonathan Melville,2000-11-18,36,"(1, 'Gun')",1,Santa Clarita Valley Station,"(34.438523, -118.405587)",SH2025381
210,Michael Austin,2000-11-21,18,"(1, 'Gun')",0,Carson,"(33.8913705, -118.2938919)",SH2026417
211,Robert Payne,2000-12-14,22,"(1, 'Knife')",1,Temple,"(34.0954474, -118.055924)",SH2025848
212,Noe Garcia,2000-12-31,23,"(0, '')",2,Century,"(33.9878788, -118.2530555)",SH2026781
213,William Farrell,2001-01-04,22,"(1, '')",2,Carson,"(33.8321281, -118.2961467)",SH2027107
214,Anthony Lazo,2001-01-22,34,"(0, '')",1,Century,"(33.9855525, -118.2480734)",SH2028178
215,Marcelo J. Sampedro,2001-01-22,26,"(2, '')",1,Century Station,"(33.9855864, -118.2473781)",SH2028178
216,Unknown,2001-02-08,28,"(2, '')",1,Unknown,"(33.9892234, -118.2325504)",Unknown
217,Joey Stoker,2001-02-11,38,"(0, '')",1,Lennox,"(33.9435929, -118.3087765)",SH2029390
218,Unknown,2001-02-18,43,"(2, '')",1,Unknown,"(33.9346971, -118.3001151)",Unknown
219,Albert Ortiz,2001-02-18,30,"(1, 'boxcutter')",1,Lennox,"(33.9346971, -118.3001151)",SH2029880
220,Michael Galvan,2001-03-06,Unknown,"(0, '')",0,Unknown,"(34.0190058, -118.0347181)",SH2007412
221,Adan Torres,2001-03-12,24,"(0, '')",2,Century,"(33.9861428, -118.252122)",SH2031317
222,Kamal Ahmad,2001-03-31,18,"(0, '')",0,Century,"(33.9857167, -118.2477516)",SH2032740
223,Kamal Ahmad,2001-03-31,20,"(1, 'Gun')",0,Century,"(33.9857167, -118.2477516)",SH2032740
